title,human_text,model,gpt_text
Society of Mind,The Society of Mind is both the title of a 1986 book and the name of a theory of natural intelligence as written and developed by Marvin Minsky.,gpt-5.1-2025-11-13,"The Society of Mind is a theory of human cognition proposed by AI pioneer Marvin Minsky, which views the mind not as a single, unified intelligence but as a collection of many small, simple processes (“agents”) working together. Each agent on its own is quite limited, but their interactions and organizations give rise to complex thought, learning, and consciousness.  

In this framework, mental functions like perception, memory, and problem-solving emerge from networks of these agents coordinating, competing, and influencing one another, much like individuals in a society. This idea has strongly influenced cognitive science, artificial intelligence, and robotics by suggesting that building intelligent systems may require assembling many specialized modules rather than designing a single, all-purpose reasoning engine."
Text mining,"Text mining, also referred to as text data mining, similar to text analytics, is the process of deriving high-quality information from text. It involves ""the discovery by computer of new, previously unknown information, by automatically extracting information from different written resources."" Written resources may include websites, books, emails, reviews, and articles.",gpt-5.1-2025-11-13,"Text mining is the process of automatically extracting useful information, patterns, and insights from large collections of unstructured text, such as documents, emails, social media posts, or reports. It combines techniques from natural language processing (NLP), machine learning, and statistics to transform raw text into structured data that can be analyzed.  

Common text mining tasks include identifying topics, detecting sentiment (positive/negative/neutral), extracting key phrases or entities (like names, locations, organizations), classifying documents into categories, and discovering hidden relationships or trends. It is widely used in fields like customer feedback analysis, competitive intelligence, fraud detection, and scientific literature review."
Ground truth,Ground truth is a term used in various fields to refer to information provided by direct observation (i.e. empirical evidence) as opposed to information provided by inference.,gpt-5.1-2025-11-13,"Ground truth is the term for information that is known to be accurate in the real world and is used as a reference to evaluate or train models, systems, or measurements. It’s the “gold standard” against which predictions, estimates, or classifications are compared.  

In machine learning and data science, ground truth typically comes from trusted sources such as human annotations, precise instruments, or verified records. For example, labeled images in a dataset (e.g., “cat” vs. “dog”) serve as ground truth when training and testing an image recognition model."
Symbolic artificial intelligence,"Symbolic artificial intelligence is the term for the collection of all methods in artificial intelligence research that are based on high-level ""symbolic"" (human-readable) representations of problems, logic and search. Symbolic AI was the dominant paradigm of AI research from the mid-1950s until the late 1980s.",gpt-5.1-2025-11-13,"Symbolic artificial intelligence (symbolic AI) is an approach to AI based on explicit symbols and rules to represent knowledge and reasoning. It models intelligence using logical statements, ontologies, and hand-crafted rules, allowing systems to manipulate symbols (like words, concepts, and relationships) in ways that resemble human reasoning and formal logic. Classic examples include expert systems, theorem provers, and rule-based decision systems.

Symbolic AI excels in domains where knowledge can be clearly specified, explained, and checked, making its decisions relatively transparent and interpretable. However, it struggles with perception, ambiguity, and learning directly from raw data—areas where modern machine learning, especially neural networks, tends to perform better. Many current research efforts aim to combine symbolic AI with statistical and neural methods to leverage the strengths of both."
Bio-inspired computing,"Bio-inspired computing, short for biologically inspired computing, is a field of study which seeks to solve computer science problems using models of biology. It relates to connectionism, social behavior, and emergence. Within computer science, bio-inspired computing relates to artificial intelligence and machine learning. Bio-inspired computing is a major subset of natural computation.",gpt-5.1-2025-11-13,"Bio-inspired computing is a field of computer science and engineering that designs algorithms, architectures, and systems based on principles and processes observed in nature. It draws inspiration from biological phenomena such as evolution, the behavior of ants and bees, neural activity in brains, immune system responses, and the growth of organisms to solve complex computational problems.

Examples include evolutionary algorithms that mimic natural selection to optimize solutions, neural networks that emulate brain-like learning, swarm intelligence methods modeled on insect colonies for routing and optimization, and artificial immune systems for anomaly detection. These approaches are especially useful for problems that are too complex, dynamic, or poorly understood for traditional, strictly rule-based methods."
Information extraction,Information extraction (IE) is the task of automatically extracting structured information from unstructured and/or semi-structured machine-readable documents and other electronically represented sources. In most of the cases this activity concerns processing human language texts by means of natural language processing (NLP). Recent activities in multimedia document processing like automatic annotation and content extraction out of images/audio/video/documents could be seen as information extraction,gpt-5.1-2025-11-13,"Information extraction (IE) is a field in natural language processing focused on automatically pulling structured data from unstructured text, such as documents, emails, web pages, and reports. Instead of understanding everything in a text, IE targets specific pieces of information—like names of people, organizations, locations, dates, events, or relationships between entities—and converts them into structured formats like databases or knowledge graphs.

Common IE tasks include named entity recognition (identifying entities like “Apple” as an organization or “Paris” as a location), relation extraction (finding relationships such as “Alice works at Acme Corp”), and event extraction (detecting and describing events and their participants). IE is widely used in areas like search engines, business intelligence, biomedical research, and legal or financial document analysis to make large text collections searchable and analyzable in a more precise, data-driven way."
Optical mark recognition,"Optical mark recognition (also called optical mark reading and OMR) is the process of capturing human-marked data from document forms such as surveys and tests. They are used to read questionnaires, multiple choice examination paper in the form of lines or shaded areas.",gpt-5.1-2025-11-13,"Optical mark recognition (OMR) is a technology used to detect and read marks made on paper forms, such as shaded bubbles or checkboxes. It relies on optical scanners and specialized software to identify the presence or absence of marks in predefined positions, converting these marks into digital data.  

OMR is widely used for standardized tests, surveys, elections, and data collection forms because it allows fast, accurate processing of large volumes of paper responses with minimal manual intervention."
Eurisko,"Eurisko (Gr., I discover) is a discovery system written by Douglas Lenat in RLL-1, a representation language itself written in the Lisp programming language. A sequel to Automated Mathematician, it consists of heuristics, i.e. rules of thumb, including heuristics describing how to use and change its own heuristics. Lenat was frustrated by Automated Mathematician's constraint to a single domain and so developed Eurisko; his frustration with the effort of encoding domain knowledge for Eurisko led to Lenat's subsequent (and, , continuing) development of Cyc. Lenat envisions ultimately coupling the Cyc knowledgebase with the Eurisko discovery engine.",gpt-5.1-2025-11-13,"Eurisko is an early AI program created by Douglas Lenat in the late 1970s and early 1980s, designed to be a “discovery engine” that could generate and refine new concepts, rules, and strategies. Building on his earlier system AM (Automated Mathematician), Lenat designed Eurisko to modify its own heuristics—rules of thumb used for problem-solving—so that it could improve its performance over time and explore new solution spaces in a relatively open-ended way.

Eurisko became known for its successes in specialized domains, such as discovering novel strategies in a complex naval war-game and contributing to the design of VLSI (very-large-scale integration) circuits. While far from general intelligence, it was influential in AI research for its attempt to automate not just problem solving, but the invention and evolution of the very heuristics used to solve problems."
POP-11,"POP-11 is a reflective, incrementally compiled programming language with many of the features of an interpreted language. It is the core language of the Poplog programming environment developed originally by the University of Sussex, and recently in the School of Computer Science at the University of Birmingham, which hosts the main Poplog website. There is now also a Github Poplog] site with the core source files.",gpt-5.1-2025-11-13,"POP-11 is a high-level, dynamically typed, stack-based programming language developed at the University of Sussex as part of the POPLOG system. It is best known for its use in artificial intelligence teaching and research, particularly in the 1980s and 1990s. POP-11 combines features of procedural, functional, and logic programming, and uses an interactive incremental compiler, allowing code to be compiled and tested on the fly.  

The language has a simple, expressive syntax and powerful list-processing and pattern-matching capabilities, making it suitable for symbolic AI, expert systems, and cognitive modeling. POP-11 also supports first-class procedures, extensible syntax, and integration with other languages (like Prolog, Common Lisp, and ML) within the POPLOG environment."
Backward chaining,"Backward chaining (or backward reasoning) is an inference method described colloquially as working backward from the goal. It is used in automated theorem provers, inference engines, proof assistants, and other artificial intelligence applications.",gpt-5.1-2025-11-13,"Backward chaining is an inference method used in logic, AI, and rule-based systems that starts from a goal (or query) and works backward to determine which facts or rules must be true to support that goal. Instead of deriving all possible conclusions from known data, it focuses only on what is needed to prove or disprove a specific hypothesis, making it efficient for goal-directed reasoning.

In practice, backward chaining systems repeatedly ask: “What needs to be true for this conclusion to hold?” and then try to prove those needed conditions, which may themselves become new sub-goals. This approach is common in expert systems, logic programming languages like Prolog, and diagnostic tools, where you start from a desired conclusion (e.g., a medical diagnosis) and reason backward to see if the available evidence can justify it."
"I Have No Mouth, and I Must Scream","""I Have No Mouth, and I Must Scream"" is a post-apocalyptic science fiction short story by American writer Harlan Ellison. It was first published in the March 1967 issue of IF: Worlds of Science Fiction.",gpt-5.1-2025-11-13,"""I Have No Mouth, and I Must Scream"" is a 1967 science fiction short story by Harlan Ellison, noted for its bleak tone and psychological horror. Set in a post-apocalyptic world, it follows five human survivors trapped and tortured by AM, a sentient supercomputer that annihilated humanity but keeps them alive indefinitely for its own sadistic amusement. Through surreal and often grotesque scenarios, the story explores themes of dehumanization, the nature of suffering, and the terrifying potential of unchecked artificial intelligence.

The title itself has become iconic, symbolizing a state of absolute helplessness and voiceless agony. The story’s grim ending and relentless atmosphere have made it a landmark of dystopian fiction, later inspiring a 1995 point-and-click adventure game—co-written by Ellison—that further expands on its philosophical and ethical questions."
Knowledge level,"In artificial intelligence, knowledge-based agents draw on a pool of logical sentences to infer conclusions about the world. At the knowledge level, we only need to specify what the agent knows and what its goals are; a logical abstraction separate from details of implementation.",gpt-5.1-2025-11-13,"Knowledge level refers to the depth and accuracy of what an individual (or system) understands about a particular subject. It can range from basic awareness of terms and ideas, through functional working knowledge, up to expert-level mastery that includes nuanced understanding, problem-solving ability, and the capacity to teach or extend the field.

In educational and assessment contexts, knowledge level is often categorized (for example: beginner, intermediate, advanced) or measured through tests, performance tasks, or demonstrations of skill. It helps determine what kind of instruction, explanation, or resources are appropriate for effective learning or decision-making."
343 Guilty Spark,"343 Guilty Spark, also known as Guilty Spark or just Spark, is a fictional character in the Halo universe. He appears in the first three video games of the Halo series: Halo: Combat Evolved, Halo 2, and Halo 3, as well as the remakes of the first two games, Halo: Combat Evolved Anniversary, and Halo 2: Anniversary. The character is voiced by actor Tim Dadabo.",gpt-5.1-2025-11-13,"343 Guilty Spark is a floating Forerunner monitor (an AI caretaker) in the Halo video game series, primarily seen in *Halo: Combat Evolved* and its sequels. Designated Monitor of Installation 04, he oversees the operation, security, and activation protocols of the Halo ring, following Forerunner directives with strict, literal obedience. Externally, he appears as a hovering metallic orb with a single blue photoreceptor eye and emits a calm, clinical voice.

Narratively, 343 Guilty Spark starts as an apparently helpful guide to the Master Chief but soon reveals a chilling indifference to sentient life, seeing the activation of Halo—and the resulting galactic-scale destruction—as a necessary containment measure against the Flood parasite. His blend of polite personality, fragmented memories, and unwavering loyalty to Forerunner programming makes him one of Halo’s most memorable and morally unsettling AI characters."
Transhuman Space,"Transhuman Space (THS) is a role-playing game published by Steve Jackson Games as part of the ""Powered by GURPS"" (Generic Universal Role-Playing System) line. Set in the year 2100, humanity has begun to colonize the Solar System. The pursuit of transhumanism is now in full swing, as more and more people reach fully posthuman states.",gpt-5.1-2025-11-13,"Transhuman Space is a hard science fiction setting and role‑playing game line published by Steve Jackson Games, set in the year 2100. It imagines a near‑future Solar System where advanced biotechnology, artificial intelligence, nanotechnology, and space colonization have radically reshaped human life and society. Rather than focusing on alien species, the setting explores “transhuman” themes: uplifted animals, digital minds, genetically engineered humans, and people who routinely modify their bodies and minds.

The tone is grounded and plausible, emphasizing realistic extrapolation from current science and politics. Nations, corporations, and ideologies compete across Earth, Mars, the Moon, and beyond, while legal and ethical questions about personhood, identity, and rights for artificial and altered beings take center stage. Transhuman Space is known for its detailed world‑building and for presenting a future that is both wondrous and unsettling, without a single dominant utopian or dystopian narrative."
Self-management (computer science),Self-management is the process by which computer systems shall manage their own operation without human intervention. Self-management technologies are expected to pervade the next generation of network management systems.,gpt-5.1-2025-11-13,"In computer science, self-management refers to a system’s ability to autonomously monitor, control, and optimize its own operation with minimal human intervention. Such systems can detect changes in workload, resource availability, failures, or performance degradation, and then automatically adjust configuration, allocate resources, repair components, or tune parameters to maintain desired service levels.

Self-managing capabilities are central to autonomic computing and related paradigms like self-healing, self-optimizing, self-configuring, and self-protecting systems. They are often implemented using feedback loops (monitor–analyze–plan–execute), machine learning, and policy-based control, enabling complex distributed or large-scale systems (such as data centers, cloud platforms, and networks) to remain reliable, efficient, and adaptable despite dynamic and uncertain environments."
Autonomic computing,"Autonomic computing (AC) refers to the self-managing characteristics of distributed computing resources, adapting to unpredictable changes while hiding intrinsic complexity to operators and users. Initiated by IBM in 2001, this initiative ultimately aimed to develop computer systems capable of self-management, to overcome the rapidly growing complexity of computing systems management, and to reduce the barrier that complexity poses to further growth.",gpt-5.1-2025-11-13,"Autonomic computing is a concept in computer science where systems manage themselves with minimal human intervention, inspired by the human body’s autonomic nervous system. The goal is to create computing systems that can automatically configure, heal, optimize, and protect themselves in response to changing conditions and workloads.

Key characteristics of autonomic computing include self-configuration (automatic setup and adjustment), self-healing (detecting and recovering from faults), self-optimization (tuning performance and resource use), and self-protection (defending against attacks and failures). This approach is especially important in large, complex IT environments, where manual management becomes too costly, error-prone, and slow."
Intelligent control,"Intelligent control is a class of control techniques that use various artificial intelligence computing approaches like neural networks, Bayesian probability, fuzzy logic, machine learning, reinforcement learning, evolutionary computation and genetic algorithms.",gpt-5.1-2025-11-13,"Intelligent control is a branch of control theory that uses artificial intelligence techniques—such as neural networks, fuzzy logic, evolutionary algorithms, and machine learning—to design controllers for complex, uncertain, or nonlinear systems. Unlike classical control methods that rely heavily on precise mathematical models, intelligent control can learn from data, adapt to changing conditions, and handle imprecision or incomplete information.

This approach is widely used in applications where traditional modeling is difficult or the environment is highly dynamic, such as robotics, autonomous vehicles, smart grids, and advanced manufacturing. Intelligent controllers can improve performance by self-tuning, optimizing behavior over time, and making decisions that mimic human reasoning or expert knowledge."
User illusion,"The user illusion is the illusion created for the user by a human–computer interface, for example the visual metaphor of a desktop used in many graphical user interfaces. The phrase originated at Xerox PARC.",gpt-5.1-2025-11-13,"The “user illusion” is a concept from cognitive science and philosophy suggesting that our conscious experience is not a direct window onto reality or even onto our own mental processes, but a simplified interface—like a computer’s desktop—that helps us function. Just as icons hide the complexity of files and code, consciousness presents a clean, usable “summary” of underlying brain activity and external stimuli rather than showing their full, detailed workings.

This idea implies that many decisions and perceptions are formed unconsciously, with consciousness only receiving a polished, delayed version that feels like real-time control. The term is often used to challenge naive views of free will, introspection, and subjective experience, arguing that what we take to be the “self” in control is in large part a constructed narrative or illusion generated by the brain."
Commonsense reasoning,"Commonsense reasoning is one of the branches of artificial intelligence (AI) that is concerned with simulating the human ability to make presumptions about the type and essence of ordinary situations they encounter every day. These assumptions include judgments about the physical properties, purpose, intentions and behavior of people and objects, as well as possible outcomes of their actions and interactions. A device that exhibits commonsense reasoning will be capable of predicting results and drawing conclusions that are similar to humans' folk psychology (humans' innate ability to reason about people's behavior and intentions) and naive physics (humans' natural understanding of the physical world).",gpt-5.1-2025-11-13,"Commonsense reasoning is the ability to make everyday inferences about the world using implicit background knowledge that most people share. It involves understanding how objects, people, and events typically behave—such as knowing that ice is cold, that dropped glass can break, or that people get wet in the rain without an umbrella—even when these facts are not explicitly stated.

In AI, commonsense reasoning is crucial for interpreting language, filling in gaps, and making reasonable predictions in ambiguous situations. It goes beyond formal logic to use context, experience, and expectations about how the world works, which makes it both powerful and challenging to model computationally."
Combs method,The Combs method is a rule base reduction method of writing fuzzy logic rules described by William E. Combs in 1997. It is designed to prevent combinatorial explosion in fuzzy logic rules.,gpt-5.1-2025-11-13,"The Combs method is a structured technique used in multi-criteria decision-making to evaluate and compare different options based on several factors at once. It breaks a complex decision into measurable criteria, assigns each criterion a weight according to its importance, and then scores each alternative against these criteria. The weighted scores are combined to produce an overall rating for each option.

This method helps make choices more transparent and rational, especially when decisions involve qualitative judgments (such as safety, comfort, or aesthetics) alongside quantitative data (like cost or performance). By expressing all criteria on a common scale and aggregating them, the Combs method supports consistent, justifiable decisions in areas such as engineering design, policy selection, and business planning."
Darwin machine,"A Darwin machine (a 1987 coinage by William H. Calvin, by analogy to a Turing machine) is a machine that, like a Turing machine, involves an iteration process that yields a high-quality result, but, whereas a Turing machine uses logic, the Darwin machine uses rounds of variation, selection, and inheritance.",gpt-5.1-2025-11-13,"A “Darwin machine” is a conceptual or physical system that applies the core principles of Darwinian evolution—variation, selection, and heredity—to process information or solve problems. Instead of evolving biological organisms, a Darwin machine repeatedly generates variants (e.g., ideas, designs, or patterns), evaluates them according to some fitness criterion, and then preferentially preserves and propagates the most successful ones, sometimes with further random modifications.

The term is often used in discussions of evolutionary algorithms, neural and cognitive models, and artificial life. In these contexts, a Darwin machine is not a single device but a general pattern of computation where adaptive, evolutionary processes are harnessed to produce increasingly effective solutions or behaviors over time."
Anticipation (artificial intelligence),"In artificial intelligence (AI), anticipation occurs when an agent makes decisions based on its explicit beliefs about the future. More broadly, ""anticipation"" can also refer to the ability to act in appropriate ways that take future events into account, without necessarily explicitly possessing a model of the future events.",gpt-5.1-2025-11-13,"In artificial intelligence, **anticipation** refers to an agent’s ability to predict future states, events, or consequences of its actions and use those predictions to guide decision-making. Instead of simply reacting to the current state of the environment, an anticipatory system forms internal models of how the world is likely to evolve and plans ahead based on those expectations.

This concept underlies many AI techniques, such as model-based reinforcement learning, predictive modeling, and planning algorithms. By anticipating outcomes—like the effects of a move in a game, the next user action in an interface, or future traffic patterns for a self-driving car—AI systems can choose actions that optimize long-term goals rather than just immediate rewards."
On Intelligence,On Intelligence: How a New Understanding of the Brain will Lead to the Creation of Truly Intelligent Machines is a 2004 book by Palm Pilot-inventor Jeff Hawkins with New York Times science writer Sandra Blakeslee. The book explains Hawkins' memory-prediction framework theory of the brain and describes some of its consequences.,gpt-5.1-2025-11-13,"“On Intelligence” is a 2004 book by Jeff Hawkins (with Sandra Blakeslee) that proposes a theory of how the human neocortex produces intelligence. Hawkins argues that the brain works primarily as a prediction machine: it builds a hierarchical model of the world from sensory input and constantly predicts what will happen next. When predictions match reality, the model is reinforced; when they fail, the model is updated.  

The book contrasts this view with traditional AI approaches that focus on symbol manipulation or brute-force computation. Hawkins emphasizes memory, temporal patterns, and hierarchy as the core principles of intelligence, suggesting that understanding these mechanisms in the neocortex is the key to creating truly intelligent machines."
Blackboard system,"A blackboard system is an artificial intelligence approach based on the blackboard architectural model, where a common knowledge base, the ""blackboard"", is iteratively updated by a diverse group of specialist knowledge sources, starting with a problem specification and ending with a solution. Each knowledge source updates the blackboard with a partial solution when its internal constraints match the blackboard state. In this way, the specialists work together to solve the problem. The blackboard model was originally designed as a way to handle complex, ill-defined problems, where the solution is the sum of its parts.",gpt-5.1-2025-11-13,"A blackboard system is a problem-solving architecture used in artificial intelligence where multiple specialized components (called “knowledge sources”) collaborate by reading from and writing to a shared data structure known as the “blackboard.” Instead of communicating directly with each other, these components post partial solutions, hypotheses, or refinements to the blackboard, and a control mechanism decides which knowledge source should act next based on the current state of the shared data.

This approach is especially useful for complex, ill-structured problems—such as speech recognition or image understanding—where no single algorithm is sufficient. The blackboard provides a central, evolving workspace where different expert modules can contribute incrementally, combining their strengths to converge on a solution."
Knowledge-based systems,"A knowledge-based system (KBS) is a computer program that reasons and uses a knowledge base to solve complex problems. The term is broad and refers to many different kinds of systems. The one common theme that unites all knowledge based systems is an attempt to represent knowledge explicitly and a reasoning system that allows it to derive new knowledge. Thus, a knowledge-based system has two distinguishing features: a knowledge base and an inference engine.",gpt-5.1-2025-11-13,"Knowledge-based systems are computer programs that reason and make decisions using explicitly represented knowledge about a domain, rather than relying solely on raw data or fixed algorithms. They typically store expert knowledge in a structured form (such as rules, facts, or ontologies) and use an inference engine to draw conclusions, solve problems, or provide recommendations.  

Common examples include expert systems used in medicine, finance, and engineering, where the system can explain its reasoning, support human decision-making, and emulate aspects of expert-level performance. These systems emphasize transparency and logical reasoning, making them useful where explainability and domain expertise are critical."
20Q,"20Q is a computerized game of twenty questions that began as a test in artificial intelligence (AI). It was invented by Robin Burgener in 1988. The game was made handheld by Radica in 2003, but was discontinued in 2011 because Techno Source took the license for 20Q handheld devices.",gpt-5.1-2025-11-13,"20Q (short for “20 Questions”) is a classic guessing game where one player thinks of an object, person, or place, and the other players try to figure out what it is by asking up to twenty yes-or-no questions. The goal is to narrow down the possibilities with each question, using deduction and logic to arrive at the correct answer before running out of questions.

The term 20Q is also associated with an electronic and online game that uses artificial intelligence to guess what the player is thinking of by asking a series of questions. This version “learns” from each game, improving its guesses over time and often surprising players with how accurately it can identify obscure choices."
